Name of State/ UT,Total Confirmed Cases,Cured/Discharged/Migrated,Deaths,Date,Time
Gujarat,8903,3246,537,13 May 2020,08:00 IST (GMT+5:30)
Haryana,780,342,11,13 May 2020,08:00 IST (GMT+5:30)
Himachal Pradesh,65,39,2,13 May 2020,08:00 IST (GMT+5:30)
Jammu and Kashmir,934,455,10,13 May 2020,08:00 IST (GMT+5:30)
Jharkhand,172,79,3,13 May 2020,08:00 IST (GMT+5:30)
Karnataka,925,433,31,13 May 2020,08:00 IST (GMT+5:30)
Kerala,524,489,4,13 May 2020,08:00 IST (GMT+5:30)
Ladakh,42,21,0,13 May 2020,08:00 IST (GMT+5:30)
Madhya Pradesh,3986,1860,225,13 May 2020,08:00 IST (GMT+5:30)
Maharashtra,24427,5125,921,13 May 2020,08:00 IST (GMT+5:30)
Manipur,2,2,0,13 May 2020,08:00 IST (GMT+5:30)
Meghalaya,13,10,1,13 May 2020,08:00 IST (GMT+5:30)
Mizoram,1,1,0,13 May 2020,08:00 IST (GMT+5:30)
Odisha,437,116,3,13 May 2020,08:00 IST (GMT+5:30)
Puducherry,13,9,1,13 May 2020,08:00 IST (GMT+5:30)
Punjab,1914,171,32,13 May 2020,08:00 IST (GMT+5:30)
Rajasthan,4126,2378,117,13 May 2020,08:00 IST (GMT+5:30)
Tamil Nadu,8718,2134,61,13 May 2020,08:00 IST (GMT+5:30)
Telengana,1326,830,32,13 May 2020,08:00 IST (GMT+5:30)
Tripura,154,2,0,13 May 2020,08:00 IST (GMT+5:30)
Uttarakhand,69,46,1,13 May 2020,08:00 IST (GMT+5:30)
Uttar Pradesh,3664,1873,82,13 May 2020,08:00 IST (GMT+5:30)
West Bengal,2173,612,198,13 May 2020,08:00 IST (GMT+5:30)
